pid,handle,type,title,fair,identifier
umd:930,hdl:1903.1/284,UMD_IMAGE,South Gardens,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",Call Number: 1915-sfr-20-0001-001
umd:934,hdl:1903.1/319,UMD_IMAGE,Tower of Jewels,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",Call Number: 1915-sfr-20-0001-003
umd:778,hdl:1903.1/152,UMD_IMAGE,Exposition interior,"Exhibition of Art and Art-Industry (1853 : Dublin, Ireland)",Call Number: 1853-dub-26-1
umd:796,hdl:1903.1/158,UMD_IMAGE,Panorama du Parc pris du Cercle International,Exposition Universelle de 1867 à Paris,Call Number: 1867-par-20-0002
umd:854,hdl:1903.1/144,UMD_IMAGE,Administration Building,"World's Columbian Exposition (1893 : Chicago, Ill.)",hdl:1903.1/144
umd:802,hdl:1903.1/109,UMD_IMAGE,Oftportal der Industriehalle,Vienna International Exhibition (1873),Call Number: 1873-vie-16-0006-002
umd:804,hdl:1903.1/114,UMD_IMAGE,Innenansicht der Rotunde bei der Eroffnunsfeier.,Vienna International Exhibition (1873),Call Number: 1873-vie-16-0006-003
umd:856,hdl:1903.1/119,UMD_IMAGE,Exposition Universelle Bruxelles 1897,Exposition internationale Bruxelles-Tervueren (1897),Call Number: 1897-bru-08-0001
umd:824,hdl:1903.1/122,UMD_IMAGE,Place de la Concorde,"Exposition universelle de 1889 (Paris, France)",Call Number: 1889-par-16-0002
umd:800,hdl:1903.1/112,UMD_IMAGE,Plan der Weltausstellung,Vienna International Exhibition (1873),Call Number: 1873-vie-16-0006-001
umd:858,hdl:1903.1/189,UMD_IMAGE,Exposition Universelle 1900,"Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-par-08-0005
umd:820,hdl:1903.1/160,UMD_IMAGE,Exhibition Building,"New Zealand and South Seas Exhibition (1889-1890: Dunedin, N.Z.)",Call Number: 1889-dun-20-0001
umd:822,hdl:1903.1/141,UMD_IMAGE,Plan,"Exposition universelle de 1889 (Paris, France)",Call Number: 1889-par-16-0001
umd:262,hdl:1903.1/52,UMD_IMAGE,Artists' materials,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0193
umd:299,hdl:1903.1/88,UMD_IMAGE,Horticultural Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0223
